Tytuł,Cena,link,Metraż,Dzielnica
"Okazja! 2 oddzielne pokoje, 41,5 m2 + piwnica",495 000 zł,https://www.otodom.pl/pl/oferta/okazja-2-oddzielne-pokoje-41-5-m2-piwnica-ID4xUuQ.html,"41,53",Nowa Huta
Mieszkanie 3 pokojowe + garaż + komórka lokatorska,1 010 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-garaz-komorka-lokatorska-ID4xwDg.html,60,Bronowice
Przytulna kawalerka na Os. Ogrodowym w Nowej Hucie,360 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-na-os-ogrodowym-w-nowej-hucie-ID4yc9x.html,"20,60",Nowa Huta
"BEZ PROWIZJI! K. lokatorska, m. postojowe zew., blisko centrum",700 000 zł,/d/oferta/bez-prowizji-k-lokatorska-m-postojowe-zew-blisko-centrum-CID3-ID16RxGv.html,50,Grzegórzki
Zadbane- słoneczne- funkcjonalne- 3 pokojowe - 50 metrowe- Podgórze,659 000 zł,https://www.otodom.pl/pl/oferta/zadbane-sloneczne-funkcjonalne-3-pokojowe-50-metrowe-podgorze-ID4ybwo.html,50,Bieżanów-Prokocim
"Nowe wykończone 2 pokoje 43,4 m2 z ogródkiem 55 m2 bez PCC, Właściciel",820 000 zł,/d/oferta/nowe-wykonczone-2-pokoje-43-4-m2-z-ogrodkiem-55-m2-bez-pcc-wlasciciel-CID3-ID179OsS.html,"43,40",Prądnik Biały
3 pokoje | po remoncie | zielona okolica | gotowe do zamieszkania!,889 000 zł,https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncie-zielona-okolica-gotowe-do-zamieszkania-ID4yb1i.html,69,Bieżanów-Prokocim
"Przytulna kawalerka z balkonem, piwnicą i miejscem parkingowym",515 033 złdo negocjacji,/d/oferta/przytulna-kawalerka-z-balkonem-piwnica-i-miejscem-parkingowym-CID3-ID17vQ2a.html,"31,33",Łagiewniki-Borek Fałęcki
Dwupokojowe mieszkanie z balkonem - oferta prywatna,470 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-oferta-prywatna-ID4ydXo.html,30,Krowodrza
.. w przygotowaniu... prezentacje od 20 września,595 999 zł,https://www.otodom.pl/pl/oferta/w-przygotowaniu-prezentacje-od-20-wrzesnia-ID4ybH6.html,53,Czyżyny
| Przestronne | 3 pokojowe | Komórka Lokatorska | Kraków - Kliny |,640 000 zł,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-komorka-lokatorska-krakow-kliny-ID4yamS.html,"46,10",Dębniki
Kawalerka do Remontu | 4min Tramwaj | Inwestycja,299 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-4min-tramwaj-inwestycja-ID4xvgr.html,"19,26",Nowa Huta
"36 m2, 2 pokoje i osobna kuchnia",495 000 zł,https://www.otodom.pl/pl/oferta/36-m2-2-pokoje-i-osobna-kuchnia-ID4ydvn.html,36,Prądnik Biały
Nowe 2-pokojowe|12 min do Rynku|Autobus tylko 200m!,550 000 zł,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-12-min-do-rynku-autobus-tylko-200m-ID4xPrO.html,"34,30",Prądnik Biały
Penthouse / taras 120 m2 / panorama Krakowa,2 800 000 zł,https://www.otodom.pl/pl/oferta/penthouse-taras-120-m2-panorama-krakowa-ID4xREl.html,180,Podgórze
