Tytuł,Cena,link,Metraż,Dzielnica
"ul.Kochanowskiego 4 pokojowe, dwupoziomowe, do wejścia od zaraz",1 500 000 zł,https://www.otodom.pl/pl/oferta/ul-kochanowskiego-4-pokojowe-dwupoziomowe-do-wejscia-od-zaraz-ID4ybNe.html,"86,21",Stare Miasto
"2-pok. z balkonem, 9. piętro, Mistrzejowice!",639 000 zł,https://www.otodom.pl/pl/oferta/2-pok-z-balkonem-9-pietro-mistrzejowice-ID4x6Pg.html,"45,69",Mistrzejowice
3M|balkon_parking_winda_komunikacja miejska|REZERWACJA,699 000 zł,https://www.otodom.pl/pl/oferta/3m-balkon-parking-winda-komunikacja-miejska-rezerwacja-ID4y47A.html,48,Bieżanów-Prokocim
"dwupokojowe mieszkanie z osobną kuchnią, ogrodem oraz piwnicą",759 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-osobna-kuchnia-ogrodem-oraz-piwnica-ID4yk54.html,"46,20",Prądnik Biały
2M| 5 min Serenada_parking_zieleń_dobrze oświetlone|,465 000 zł,https://www.otodom.pl/pl/oferta/2m-5-min-serenada-parking-zielen-dobrze-oswietlone-ID4ydOD.html,36,Bieńczyce
Saska Blu 2 pokojowe doskonała lokalizacja,629 000 zł,https://www.otodom.pl/pl/oferta/saska-blu-2-pokojowe-doskonala-lokalizacja-ID4yjWP.html,"40,59",Podgórze
3 pok z osobną kuchnią ul.Stachiewicza.,648 000 zł,https://www.otodom.pl/pl/oferta/3-pok-z-osobna-kuchnia-ul-stachiewicza-ID4ydkp.html,50,Prądnik Biały
Mieszkanie 35 m2/ Zabłocie ul. Dekerta,499 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-35-m2-zablocie-ul-dekerta-ID4uOHI.html,35,Podgórze
REZERWACJA Nowa kawalerka | Bonarka | balkon,279 000 zł,https://www.otodom.pl/pl/oferta/rezerwacja-nowa-kawalerka-bonarka-balkon-ID4xYe6.html,17,Podgórze
Zamieszkaj Z Widokiem Na Kraków – Wyjątkowe Mieszkanie Na Kurdwanowie,575 000 zł,https://www.otodom.pl/pl/oferta/zamieszkaj-z-widokiem-na-krakow-wyjatkowe-mieszkanie-na-kurdwanowie-ID4yePv.html,"48,90",Podgórze Duchackie
"3 pokojowe, przestrzenne mieszkanie z klimatyzacją",720 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-przestrzenne-mieszkanie-z-klimatyzacja-ID4vl3C.html,"63,02",Bieżanów-Prokocim
Sprzedane! Krowodrza Suterena 2 pokoje Wrocławska Wielkotyrnowska,229 000 zł,https://www.otodom.pl/pl/oferta/sprzedane-krowodrza-suterena-2-pokoje-wroclawska-wielkotyrnowska-ID4xtwl.html,27,Krowodrza
"Mieszkanie 3-pok, 67m2, 2008r, Zakrzówek, dobra lokalizacja!",875 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-67m2-2008r-zakrzowek-dobra-lokalizacja-ID4xNFT.html,"67,33",Dębniki
2 pok/42 m2/do zamieszkania/po remoncie/os.Albertyńskie/balkon,633 000 złdo negocjacji,https://www.olx.pl/d/oferta/2-pok-42-m2-do-zamieszkania-po-remoncie-os-albertynskie-balkon-CID3-ID17kRt9.html,"42,30",Bieńczyce
Sprzedam Mieszkanie,530 000 złdo negocjacji,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-ID17uZBR.html,"44,96",Nowa Huta
Sprzedam bezpośrednio 2-pokojowe mieszkanie 36m.,519 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pokojowe-mieszkanie-36m-ID4ycnZ.html,36,Bieńczyce
Kawalerka do Remontu | 4min Tramwaj | Inwestycja,299 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-4min-tramwaj-inwestycja-ID4yjZp.html,"19,26",Nowa Huta
